title,year,genre,movie_description,critical_consensus,review
Dragon Ball Z: Resurrection 'F',2015,"['Kids, Family & Animation', 'Action', 'Kids, Family & Animation', 'Adventure', 'Fantasy']","Young Pokémon trainer Ash Ketchum and his loyal friends journey to the beautiful mountain town of Greenfield, where they will encounter the Unown, the most mysterious of all Pokémon, in Kids' WB! Presents ""Pokémon 3: The Movie."" The third big-screen installment in the infinitely popular Pokémon mythology is really two stories in one. The feature-length adventure, ""Spell of the Unown,"" is accompanied by a bonus 22-minute short, ""Pikachu and Pichu,"" starring the much-loved Pikachu.","Critics say that the third Pokemon movie has a better plot than its two predecessors. This is not enough, however, to recommend it to those not already fans of the franchise.","['A strictly members-only entertainment for a dedicated target audience, ""Dragon Ball Z: Resurrection \'F\'"" will impress the uninitiated as very loud and very colorful, but not nearly fast-paced enough.', ""Despite falling back on traditional DBZ clichés, Resurrection 'F' features enough beautifully animated butt-kicking to warrant a watch."", 'It may as well be Kenny G, or Preparation H.', 'This slam-bang action-adventure will have ""Dragon Ball"" fans of all ages cheering with delight.']"
Titanic,1997,"['Drama & Romance', 'Drama & Romance']","James Cameron's ""Titanic"" is an epic, action-packed romance set against the ill-fated maiden voyage of the R.M.S. Titanic; the pride and joy of the White Star Line and, at the time, the largest moving object ever built. She was the most luxurious liner of her era -- the ""ship of dreams"" -- which ultimately carried over 1,500 people to their death in the ice cold waters of the North Atlantic in the early hours of April 15, 1912.","A mostly unqualified triumph for James Cameron, who offers a dizzying blend of spectacular visuals and old-fashioned melodrama.","['""Titanic"" still amazes as the kind of massive, build-and-destroy production that few filmmakers have the ambition or budget to make.', ""Cameron has devised a tender love story between Kate Winslet and Leonardo DiCaprio that serves as the main focus of Titanic's storyline, and it works beautifully."", ""Cameron's aim was to set the most intimate love story possible against one of the century's biggest tragedies, and he very nearly pulls it off. DiCaprio has a captivating presence in a role that might have been written for a young Clark Gable."", ""Cameron's three-hour disaster epic is a triumph of popular art -- of folk art, really."", 'For all of its flaws, this movie works in the way that classic Hollywood movies do. It delivers.', 'For all the sluggish script and the enormous weight of the special effects, this movie behemoth still has the power to shake us rigid and and touch the soul.', 'If computer-generated special effects have overpowered human-generated drama, Cameron seizes that dangerously cold technology and recasts it as dream and delirium, profoundly human in its sources and longings.', 'It has itself become, like the shipwreck, a cultural monument, only accreting value, not losing significance, as time goes by.', 'No meager disaster movie, greased by generic formula and goosed by big-bucks technology... Titanic is one big, bruising movie that will appeal on different levels to different audiences.', ""Sure, 'Titanic' may be corny, clumsy, and obvious-but the sincerity of its emotions and the power of its spectacle endure."", ""Take one of history's most compelling tragedies, tell it through the lives of two engaging young lovers and show it with some of the best-ever special effects and you have a dazzling, exciting movie that is also poignant and personal."", 'The execution is state-of-the-art and breathtaking. Titanic offers the full compass of courage and cowardice, and it stands as an achievement that truly is a night to remember at the movies.', ""The movie is a ride, and not without the odd moment of corniness. But it's also about freedom and flight, bondage and stagnation. And most fittingly, as a memorial itself, it's about memory and the act of remembering."", 'Titanic is indeed a ship of dreams. Climb aboard and bon voyage.', 'Titanic provides an absorbing blend of historical fact and old-fashioned Hollywood tearjerking.', ""We know the story ends badly but Cameron still sweeps us up in the romance between Kate Winslet's rebellious posh girl and DiCaprio's steerage kid."", 'What I can tell you, risking puns, is that it swept me off my feet almost from the get-go, a grand epic romance-disaster that reminded me, in the middle of my overstuffed-with-movies life, of what we mean when we talk about the power of cinema.', 'With his beatific, sweet, open face, DiCaprio gives us a rooting interest in hoping that someone important to us survives the wreck.', '[Cameron] stages the sinking with a flawless sense of detail, pacing, import and dread.', '[The ending] is a masterpiece of popcorn tragedy: not deep, not sophisticated, barely even credible, but gut-clutching for those of us who have already lost the sensible use of our stomachs, as we would in any worthwhile fairground ride.']"
Gone with the Wind,1939,"['Drama & Romance', 'Drama & Romance']","Presented as originally released in 1939. Includes themes and character depictions which may be offensive and problematic to contemporary audiences. Epic Civil War drama focuses on the life of petulant Southern belle Scarlett O'Hara. Starting with her idyllic life on a sprawling plantation, the film traces her survival through the tragic history of the South during the Civil War and Reconstruction, and her tangled love affairs with Ashley Wilkes and Rhett Butler.",Gone with the Wind's epic grandeur and romantic allure encapsulate an era of Hollywood filmmaking -- but that can't excuse a blinkered perspective that stands on the wrong side of history.,"['""Gone With the Wind"" offers the kind of big, rich, opulent experience the movies are in a unique position to offer but seldom do.', ""'It' has arrived at last, and we cannot get over the shock of not being disappointed; we had almost been looking forward to that."", ""A critic-proof movie if there ever was one: it isn't all that good, but somehow it's great."", ""As God is my witness ... it's back."", ""Boasts epic visuals (the civil war, Atlanta on fire etc) as sweeping as Max Steiner's score."", 'Clark Gable sends a refreshing blast of cynicism through a narrative which otherwise would have been over-sweet.', ""Ginormous in both scale and emotional wallop, MGM's epic is still a cinematic event to be savoured."", 'Gone With the Wind endures and deepens with the passing of time because Scarlett and Rhett are as modern as its open ending.', 'If the story had been cut short and tidied up at the point marked by the interval, and if the personal drama had been made subservient to a cinematic treatment of the central theme, then Gone With the Wind might have been a really great film.', 'It could be -- and should be -- viewed from a dozen different perspectives, but it is, above all, a story about adapting to the most challenging circumstances possible.', ""It's impossible not to be carried away by the rich arterial force of this storytelling."", ""It's remarkable that after spending almost eight hours of my existence in front of this film, I can remember only two points vividly."", 'No one watches Gone with the Wind for historical accuracy. What keeps us coming back is four-hours of epic romance in gorgeous Technicolor.', 'One of the truly great films, destined for record-breaking boxoffice business everywhere.', 'The film that perhaps defines Hollywood.', ""The film's subtle racism is insidious, going to great lengths to enshrine the myth that the Civil War wasn't fought over slavery - an institution the film unabashedly romanticizes."", 'The performances of eternally glittering movie stars Vivien Leigh and Clark Gable ... exist in a league of their own, demanding rapt attention in scene after scene.', ""There has never been a picture like David O. Selznick's production of Gone With the Wind."", 'This is a film that never fights shy of clichés. Rather, it collects them all up in one glorious heap so you can cherry-pick those that appeal.', 'What more can one say about this much-loved, much discussed blockbuster?']"
The Lion King,2019,"['Kids, Family & Animation', 'Adventure']","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his.","While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","[""As directed by Jon Favreau, it's an achievement of technology not artistry."", ""As directed by Jon Favreau, it's an achievement of technology not artistry."", ""As directed by Jon Favreau, it's an achievement of technology not artistry."", ""By this point, Disney's do-overs feel a lot like their cash-grabby, inspiration-free '90s direct-to-video sequels, only with vastly better production values."", ""By this point, Disney's do-overs feel a lot like their cash-grabby, inspiration-free '90s direct-to-video sequels, only with vastly better production values."", ""By this point, Disney's do-overs feel a lot like their cash-grabby, inspiration-free '90s direct-to-video sequels, only with vastly better production values."", 'Despite the superstar talent of the cast and the stunning presentation, it misses some of the heart that placed the original securely in the pop culture canon.', 'Despite the superstar talent of the cast and the stunning presentation, it misses some of the heart that placed the original securely in the pop culture canon.', 'Despite the superstar talent of the cast and the stunning presentation, it misses some of the heart that placed the original securely in the pop culture canon.', 'Even if you somehow made it into the new Lion King without knowing its origins, you might start to wonder if there was another version of it that made more sense...', 'Even if you somehow made it into the new Lion King without knowing its origins, you might start to wonder if there was another version of it that made more sense...', 'Even if you somehow made it into the new Lion King without knowing its origins, you might start to wonder if there was another version of it that made more sense...', ""For grownups - as opposed to the happy cubs who will adore them for taking them to The Lion King - this remake doesn't feel like visionary storytelling so much as a proving ground for newer technologies: virtual reality and other immersive techniques."", ""For grownups - as opposed to the happy cubs who will adore them for taking them to The Lion King - this remake doesn't feel like visionary storytelling so much as a proving ground for newer technologies: virtual reality and other immersive techniques."", ""For grownups - as opposed to the happy cubs who will adore them for taking them to The Lion King - this remake doesn't feel like visionary storytelling so much as a proving ground for newer technologies: virtual reality and other immersive techniques."", ""I'm very impressed with how they did...I just love cartoons. This is a movie that said sit there, we've done all the work."", ""I'm very impressed with how they did...I just love cartoons. This is a movie that said sit there, we've done all the work."", ""I'm very impressed with how they did...I just love cartoons. This is a movie that said sit there, we've done all the work."", 'In the end The Lion King left me longing for the emotional moments of the first film.', 'In the end The Lion King left me longing for the emotional moments of the first film.', 'In the end The Lion King left me longing for the emotional moments of the first film.', ""It's the soundtrack and the star voices - both in the English and the Hindi versions - that bring things alive, specially in some throwaway light moments, like a affianced-betrothed wordplay or a hornbill vs woodpecker debate."", ""It's the soundtrack and the star voices - both in the English and the Hindi versions - that bring things alive, specially in some throwaway light moments, like a affianced-betrothed wordplay or a hornbill vs woodpecker debate."", ""It's the soundtrack and the star voices - both in the English and the Hindi versions - that bring things alive, specially in some throwaway light moments, like a affianced-betrothed wordplay or a hornbill vs woodpecker debate."", ""No matter when you first discovered Simba's story, the live-action Lion King will leave you speechless."", ""No matter when you first discovered Simba's story, the live-action Lion King will leave you speechless."", ""No matter when you first discovered Simba's story, the live-action Lion King will leave you speechless."", 'Overseeing such a massive technical production as this one requires a filmmaker to be on top of every nuance and detail in play. Actor/director Favreau is the right person for the job.', 'Overseeing such a massive technical production as this one requires a filmmaker to be on top of every nuance and detail in play. Actor/director Favreau is the right person for the job.', 'Overseeing such a massive technical production as this one requires a filmmaker to be on top of every nuance and detail in play. Actor/director Favreau is the right person for the job.', 'Rarely has brand recognition soared to such fetishistic heights, and I regret to inform you that, aside from the updating of the vocal cast, the most blatant discrepancy between the old and the new is a very slight increase in the comedy of flatulence.', 'Rarely has brand recognition soared to such fetishistic heights, and I regret to inform you that, aside from the updating of the vocal cast, the most blatant discrepancy between the old and the new is a very slight increase in the comedy of flatulence.', 'Rarely has brand recognition soared to such fetishistic heights, and I regret to inform you that, aside from the updating of the vocal cast, the most blatant discrepancy between the old and the new is a very slight increase in the comedy of flatulence.', ""The Lion King captures just enough of the original's warmhearted excitement -- and introduces enough new delights -- to feel like more than a cynical Disney money grab."", ""The Lion King captures just enough of the original's warmhearted excitement -- and introduces enough new delights -- to feel like more than a cynical Disney money grab."", ""The Lion King captures just enough of the original's warmhearted excitement -- and introduces enough new delights -- to feel like more than a cynical Disney money grab."", ""The Lion King feels less like watching a cohesive film and more like listening to a separate audio track narrating what is happening onscreen. The two halves don't mesh."", ""The Lion King feels less like watching a cohesive film and more like listening to a separate audio track narrating what is happening onscreen. The two halves don't mesh."", ""The Lion King feels less like watching a cohesive film and more like listening to a separate audio track narrating what is happening onscreen. The two halves don't mesh."", 'The original The Lion King had gorgeous hand-drawn animation, oodles of charm and a great, beating heart. This one is almost a frame-to-frame remake.', 'The original The Lion King had gorgeous hand-drawn animation, oodles of charm and a great, beating heart. This one is almost a frame-to-frame remake.', 'The original The Lion King had gorgeous hand-drawn animation, oodles of charm and a great, beating heart. This one is almost a frame-to-frame remake.', 'The weight of the production and the hubris of its technological aspirations accent the story flaws that were always part of The Lion King. This is one Disney fable that should have stayed a handmade tale.', 'The weight of the production and the hubris of its technological aspirations accent the story flaws that were always part of The Lion King. This is one Disney fable that should have stayed a handmade tale.', 'The weight of the production and the hubris of its technological aspirations accent the story flaws that were always part of The Lion King. This is one Disney fable that should have stayed a handmade tale.', ""Though by no means a bad movie, The Lion King would've been better off trying to be more of its own movie, do something different in terms of story and character, and aim as high narratively as it achieved with its extraordinary visuals."", ""Though by no means a bad movie, The Lion King would've been better off trying to be more of its own movie, do something different in terms of story and character, and aim as high narratively as it achieved with its extraordinary visuals."", ""Though by no means a bad movie, The Lion King would've been better off trying to be more of its own movie, do something different in terms of story and character, and aim as high narratively as it achieved with its extraordinary visuals."", 'Watch this Lion King for the technical achievement and musical numbers, and then watch the original to feel satisfied.', 'Watch this Lion King for the technical achievement and musical numbers, and then watch the original to feel satisfied.', 'Watch this Lion King for the technical achievement and musical numbers, and then watch the original to feel satisfied.', ""Where the animated original had an endearingly cheery anthropomorphism, with wide eyes and cute expressions, this lacks that. You're marveling at the beauty of the animals, but it just doesn't work with the material."", ""Where the animated original had an endearingly cheery anthropomorphism, with wide eyes and cute expressions, this lacks that. You're marveling at the beauty of the animals, but it just doesn't work with the material."", ""Where the animated original had an endearingly cheery anthropomorphism, with wide eyes and cute expressions, this lacks that. You're marveling at the beauty of the animals, but it just doesn't work with the material."", 'While there are dashes of cute and colourful revelry, the question remains: did we really need a near-faithful remake with added flab?', 'While there are dashes of cute and colourful revelry, the question remains: did we really need a near-faithful remake with added flab?', 'While there are dashes of cute and colourful revelry, the question remains: did we really need a near-faithful remake with added flab?', ""You'll want to pluck Simba from the screen and give him a cuddle."", ""You'll want to pluck Simba from the screen and give him a cuddle."", ""You'll want to pluck Simba from the screen and give him a cuddle.""]"
Wolf Warrior 2,2017,"['Action', 'Adventure']","When Tony Stark (Robert Downey Jr.) jump-starts a dormant peacekeeping program, things go terribly awry, forcing him, Thor (Chris Hemsworth), the Incredible Hulk (Mark Ruffalo) and the rest of the Avengers to reassemble. As the fate of Earth hangs in the balance, the team is put to the ultimate test as they battle Ultron, a technological terror hell-bent on human extinction. Along the way, they encounter two mysterious and powerful newcomers, Pietro and Wanda Maximoff.","Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.","['While ""Wolf Warrior 2"" is blandly generic more often than not, there\'s something bracing about its patriotic fervor, which asserts that the Chinese will act in the best interests of the world\'s downtrodden, while the rest of the world just exploits them.', ""Wolf Warrior 2 is even bigger and bolder than its predecessor, which doesn't always work in its favor. But genre fans will definitely relish the near constant barrage of elaborate set pieces that are choreographed and filmed for maximum impact."", 'Wolf Warrior 2 lectures you, pummels you, and then expects you to cheer.', ""Wu Jing's record-breaking Chinese-produced action-adventure gives audiences plenty of bang for their bucks.""]"
Star Wars: Episode VIII – The Last Jedi,2017,"['Action', 'Fantasy', 'Adventure', 'Sci-Fi']","Luke Skywalker's peaceful and solitary existence gets upended when he encounters Rey, a young woman who shows strong signs of the Force. Her desire to learn the ways of the Jedi forces Luke to make a decision that changes their lives forever. Meanwhile, Kylo Ren and General Hux lead the First Order in an all-out assault against Leia and the Resistance for supremacy of the galaxy.",Star Wars: The Last Jedi honors the saga's rich legacy while adding some surprising twists -- and delivering all the emotion-rich action fans could hope for.,"['""Star Wars"" is not ""Breaking Bad,"" and the same narrative tricks that worked for the latter feel jarringly out of place in the former.', 'As the third act approaches, the crescendo of air-punching interludes accelerates, eliciting gasps, cheers and OMG whoops from an audience whom Johnson treats with respect, affection, and evident admiration.', 'But the biggest thing this eighth chapter does is change where things go next in a fundamental way.', 'But these are minor quibbles compared to the depth, wonder, and sense of heroism that The Last Jedi brings back.', ""Fanatics will love it; for the rest of us, it's a tolerably good time."", 'In a world bursting with flashy popcorn movies, there\'s still nothing quite like a ""Star Wars"" flick.', ""It's the one we've been waiting for."", ""Johnson is easily the most skilled filmmaker to helm one of these (it's not even close) and it's not just that the film has a surface beauty of its own. He's aware of what we expect narratively from a 'Star Wars' movie, and delights in subverting it."", 'Nothing in ""The Last Jedi"" is allowed to be mundane, including the places the filmmakers take the story.', 'Rian Johnson leavens political high seriousness and fan-service tear-jerking with enough charm and humour to prevent The Last Jedi becoming the biggest downer ever delivered at Christmas by the Walt Disney Company.', 'Star Wars: The Last Jedi is a spirited continuation - sometimes spectacular, often humorous - of the never-ending space saga.', 'Star Wars: The Last Jedi is a visual spectacle that expands our understanding of the Force and how it shapes a ""galaxy far, far away,"" adding to the mythology and lore of this franchise.', ""Star Wars: The Last Jedi may not be perfect, but the need to accept imperfection and keep going becomes one of the movie's themes...It's about mentorship that's invigorating rather than smothering."", 'The Last Jedi probably does the best job of any Star Wars film of capturing the allure of the Dark Side and the spiritual turmoil that would lead to-and also result from-its embrace.', 'The devoted will no doubt be delighted; for the rest, a resigned acceptance may be the safest path to enjoyment.', 'The success of The Last Jedi, like its father before it, will most likely rest on the conclusion of the trilogy.', ""What's most interesting to me about The Last Jedi is Luke's return as the mentor rather than the student, grappling with his failure in this new role, and later aspiring to be the wise and patient teacher."", 'While The Last Jedi may not receive top marks for originality, the eighth official entry in the Star Wars saga is still one of the most entertaining blockbusters of the year...', 'With Johnson at the helm, the torch-along with the lightsaber-is safely passed to a new generation.', 'With The Last Jedi, Johnson finds that sweet spot of reverentially seeing out the old to firmly make way for a new, perhaps final, space odyssey.']"
Finding Nemo,2003,"['Comedy', 'Kids, Family & Animation', 'Kids, Family & Animation', 'Adventure']","Marlin (Albert Brooks), a clown fish, is overly cautious with his son, Nemo (Alexander Gould), who has a foreshortened fin. When Nemo swims too close to the surface to prove himself, he is caught by a diver, and horrified Marlin must set out to find him. A blue reef fish named Dory (Ellen DeGeneres) -- who has a really short memory -- joins Marlin and complicates the encounters with sharks, jellyfish, and a host of ocean dangers. Meanwhile, Nemo plots his escape from a dentist's fish tank.","Breathtakingly lovely and grounded by the stellar efforts of a well-chosen cast, Finding Nemo adds another beautifully crafted gem to Pixar's crown.","['A genuinely funny and touching film that, in less than a decade, has established itself as a timeless classic.', 'A splendid eco-friendly comedy set in the Great Barrier Reef.', 'A timeless delight.', 'At its best, the added dimension is merely harmless, making the movie blurry enough that you need special glasses to make it sharp again.', 'Every frond and fin pokes out at you.', 'Finding Nemo is distributed by Disney, and it has what the most heartfelt Disney animated features used to have: rapturous imagery matched with real wit.', 'Finding Nemo is laced with smart humor and clever gags, and buoyed by another cheery story of mismatched buddies: a pair of fish voiced by Albert Brooks and Ellen DeGeneres.', 'Finding Nemo offers as much in terms of thrills, frights, humour and psychological insight as it does in pure technical skill, proving that a movie can be art without being an ""art"" movie.', 'In this seamless blending of technical brilliance and storytelling verve, the Pixar team has made something as marvelously soulful and innately, fluidly American as jazz.', 'It looks more stunning than ever.', ""Like Pixar's previous films, Finding Nemo mines humor from the oddities of an unknown world but stays grounded in a familiar one, finding recognizable elements of heartbreak and happiness amid the ink-jetting octopi and irritable flounders."", 'Most of all, Finding Nemo is a touching tale which reassures you that even though things may look bleak, it will all turn out well in the end.', 'Sweet father-son tale with some very scary moments.', 'The animation in Finding Nemo is quite breathtaking and this movie, created by Pixar, the same outfit that made Toy Story, looks like The Undersea World of Jacques Cousteau.', 'The animation is so sleek and the action so perfectly paced that even the sharpest viewer could be forgiven for overlooking some unimportant lapses in internal logic.', 'The latest flood of wizardry from Pixar, whose productions, from Toy Story onward, have lent an indispensable vigor and wit to the sagging art of mainstream animation.', 'The tropical pleasure is a beautifully imagined adventure that beguiles children and tickles adults.', 'This is a classic - bring on the sequel!', 'When the blunt head of Bruce the shark slams into the screen like a hammer, everyone -- adults included -- gasps', 'While Mr. Brooks is very funny, Ms. DeGeneres gives a bravura comic performance, as well as a touching one.']"
Thunderball,1965,['Action'],"Led by one-eyed evil mastermind Emilio Largo (Adolfo Celi), the terrorist group SPECTRE hijacks two warheads from a NATO plane and threatens widespread nuclear destruction to extort 100 million pounds. The dashing Agent 007, James Bond (Sean Connery), is sent to recover the warheads from the heart of Largo's lair in the Bahamas, facing underwater attacks from sharks and men alike. He must also convince the enchanting Domino (Claudine Auger), Largo's mistress, to become a key ally.","Lavishly rendered set pieces and Sean Connery's enduring charm make Thunderball a big, fun adventure, even if it doesn't quite measure up to the series' previous heights.","['Classic 007 -- not the best picture in the long-running series, to be sure, but a more-than-worthwhile diversion for the action-loving escapist in us all.', ""If Thunderball's gimmickry seems to overreach at times, Actor Connery gains assurance from film to film, by now delivers all his soppiest Jimcracks martini-dry."", 'In this, the fourth instalment in the series from the original team, you have a classic Bond film that wants for nothing but a trim.', ""Slightly bloated Bond, with too much technology for my taste and a climactic slaughter that's a little too mindless to be much fun."", ""The color is handsome. The scenery in the Bahamas is an irresistible lure. Even the violence is funny. That's the best I can say for a Bond film."", 'The fourth Bond, marking the point at which spectacular hardware began to dominate the series. Sleek and quite fun all the same.', ""There's visible evidence that the reported $5.5 million budget was no mere publicity figure; it's posh all the way."", ""Two Bond staples, gratuitous sex and violence, are captured in Thunderball's underwater-photography scenes, and they still look incredible 25 years later.""]"
Grease,1978,"['Drama & Romance', 'Drama & Romance']","Experience the friendships, romances and adventures of a group of high school kids in the 1950s. Welcome to the singing and dancing world of ""Grease,"" the most successful movie musical of all time. A wholesome exchange student (Olivia Newton-John) and a leather-clad Danny (John Travolta) have a summer romance, but will it cross clique lines?","Grease is a pleasing, energetic musical with infectiously catchy songs and an ode to young love that never gets old.","['A grave disappointment to anyone in search of style or substance.', 'A sugar-rush of a film.', 'An unembarrassed movie musical, something my generation experienced only in Sunday-afternoon movies on TV.', 'Couldn\'t the makers of ""Grease"" have unearthed one person who was alive in that time, perhaps even one who attended an American high school then, and checked their information?', ""Despite the film's rose-tinted rearview mirrors and Ipana-worthy cheeriness, it's not so much the Wedding Singer of its day as it is the Boogie Nights."", 'Grease has energy and a total commitment to pleasing its audience.', 'Grease has got it, from the outstanding animated titles of John Wilson all the way through the rousing finale as John Travolta and Olivia Newton-John ride off into teenage happiness.', ""Grease holds up for new generations because it captures the enthusiasm of youth and the vibrancy of California's sunshine-and-cars culture."", ""It has no kind of focus in atmosphere or tone, it doesn't even have a look. It's just sort of floating insult, shopping for a subject to light on."", ""It's a winner."", 'Its flashy opportunism (nostalgia pitched squarely at an audience too young to even recall the era) quickly becomes very irritating.', 'Its sensibility is not tied to the past but to a free-wheeling, well informed, high-spirited present.', 'Limp, cheaply made.', 'Much-loved but somewhat overrated.', ""Randal Kleiser's 1978 musical, set in the Fifties, has some horrible acting but the kind of exuberance that has made it a cult classic."", ""Randall Kleiser's 1978 spoof of '50s iconography [is] so consciously cheesy from the outset that it hardly seems dated today."", 'The screenplay is a prepubescent shambles, the direction is by acne out of disposable douches, the dubbing and looping of the songs is painfully obvious, the characterizations are generally repulsive and the whole thing is utterly without style.', ""There's a surprising strain of filth, too - this is much closer to Hairspray than High School Musical. The message is: burn rubber, have sex, strut about like a chicken. It's one that's hard to resist."", 'Travolta is a riot. Alternately swaggering to prove his ""coolness"" and re-affirming his ability on the dance floor, the actor gives the kind of performance that\'s perfect for the role.', 'What makes it work is its youthful vitality, the tremendous energy and imagination expended on its virtually wall-to-wall song and dance number.']"
Baahubali 2: The Conclusion,2017,"['Action', 'Fantasy', 'Adventure', 'Drama & Romance']","Now an adult with three children, bank teller Michael Banks learns that his house will be repossessed in five days unless he can pay back a loan. His only hope is to find a missing certificate that shows proof of valuable shares that his father left him years earlier. Just as all seems lost, Michael and his sister receive the surprise of a lifetime when Mary Poppins -- the beloved nanny from their childhood -- arrives to save the day and take the Banks family on a magical, fun-filled adventure.",Mary Poppins Returns relies on the magic of its classic forebear to cast a familiar -- but still solidly effective -- family-friendly spell.,"[""A film that is large on emotion, drama, and action with a few extravagant battle scenes, some flying ships and SS Rajamouli's flights of fancy."", 'Baahubali The Beginning was enormously enjoyable. Baahubali The Conclusion comes to life only in bits and pieces and the credit for it should goes to Prabhas.', ""Here, once again, is thunderous spectacle unlikely to be surpassed in several summers, and clinching proof of writer-director SS Rajamouli's position among world cinema's boldest imagemakers."", ""The action choreography is exciting, the operatic plot is compelling, and there's a genuine sense of optimism that undercuts the gouts of blood and thunderous sound effects.""]"
Goldfinger,1964,['Action'],"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.","Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark.","['... what they give us in Goldfinger is an excess of-science-fiction fun, a mess of mechanical melodrama and a minimum of bedroom farce.', ""A bit much? Yes, but it's meant to be. Like Doctor No and From Russia with Love, the two previous Bond bombshells, this picture is a thriller exuberantly travestied."", 'Although more gimmicky than From Russia with Love, this film is equally as entertaining.', 'Goldfinger allows nothing to impede its sense of humour: it converts Bond into a human equivalent of the cat in the Tom and Jerry cartoons, with the same ghastly resilience and the same capacity for absorbing punishment.', 'If it is not a great film, it is a great entertainment, and contains all the elements of the Bond formula that would work again and again.', ""It has Shirley Bassey's operatic theme, the Aston Martin and Shirley Eaton, killed with that magnificently macabre gold paint."", ""It's phenomenal!"", ""Mixed in with some tough action and the introduction of such memorable gadgets as Bond's Aston Martin car, there's never a dull moment and the film flies by."", 'Ours not to reason why with ""Goldfinger""; ours but to gape and admire; which is very easy and enjoyable until the story\'s iceberg of extravagance finally appears in its true proportions.', 'Perfection.', 'Presented here in a newly restored digital print, it should look especially swish on the big screen.', 'Q brings out the Aston Martin for the first time, and Shirley Bassey shatters the speakers with the consummate Bond song.', ""There's not the least sign of staleness in this third sample of the Bond 007 formula."", ""This 1964 entry is the most enjoyable of the James Bond thrillers starring Sean Connery -- perhaps because it's the most comic and cartoony in look as well as conception.""]"
Operation Red Sea,2018,"['Action', 'Adventure']","Classic 1970s disaster movie about a fire that breaks out in a state-of-the-art San Francisco high-rise building during the opening ceremony attended by a host of A-list guests. An overworked fire chief and the building's architect must cooperate in the struggle to save lives and subdue panic while a corrupt, cost-cutting contractor tries to evade responsibility for the disaster.","Although it is not consistently engaging enough to fully justify its towering runtime, The Towering Inferno is a blustery spectacle that executes its disaster premise with flair.","['A blustery, noisy, polished, jingoistic hot mess based on the real life PLA evacuation of 500 Chinese nationals from Yemen in 2015.', 'Neither the story nor characters have any moral ambiguity or psychological shadings.']"
